"Year","Daily Sunshine Hours"
"1912年",5.539071038251366
"1913年",5.736438356164384
"1914年",6.342191780821918
"1915年",5.500821917808219
"1916年",5.327322404371585
"1917年",6.152602739726027
"1918年",6.046575342465753
"1919年",5.734246575342466
"1920年",5.933333333333333
"1921年",5.9430136986301365
"1922年",6.6386301369863014
"1923年",5.078630136986302
"1924年",6.036612021857923
"1925年",5.761095890410959
"1926年",6.064657534246575
